Depth,GR,RHOB,Vel
1727.34,50.84,2.454,3256
1727.49,66.44,2.489,3102
1727.64,79.43,2.513,3054
1727.8,85.68,2.524,3083
1727.95,86.54,2.538,3157
1728.1,87.22,2.535,3245
1728.25,85.35,2.513,3310
1728.41,81.45,2.498,3355
1728.56,78.06,2.49,3332
1728.71,73.65,2.487,3293
1728.86,69.17,2.486,3277
1729.02,67.58,2.491,3255
1729.17,69.73,2.501,3244
1729.32,72.75,2.494,3233
1729.47,72.45,2.484,3228
1729.62,71.3,2.474,3228
1729.78,71.67,2.46,3228
1729.93,72.62,2.46,3233
1730.08,74.28,2.471,3238
1730.23,74.68,2.482,3244
1730.39,73.22,2.477,3243
1730.54,71.08,2.475,3253
1730.69,69.65,2.487,3265
1730.84,69.72,2.503,3265
1731,70.53,2.504,3275
1731.15,71.45,2.49,3283
1731.3,72.1,2.473,3286
1731.45,72.81,2.468,3291
1731.61,74.52,2.461,3297
1731.76,77.22,2.459,3302
1731.91,79.18,2.467,3302
1732.06,80.46,2.47,3308
1732.22,78.74,2.473,3307
1732.37,76.35,2.483,3307
1732.52,76.18,2.499,3307
